ID,Job Role,Question Type,Category,Difficulty,Question,Answer,Label
21,Data Analyst,Technical,Statistics,Medium,What is a statistical interaction?,"A statistical interaction occurs when the effect of one independent variable on the outcome depends on the level of another variable, rather than each variable contributing independently — commonly tested by adding a product term to a regression model.",Excellent
22,Data Analyst,Technical,Statistics,Medium,What is a statistical interaction?,"It's when the effect of one variable on the outcome changes depending on another variable, so they don't just add up independently.",Good
23,Data Analyst,Technical,Statistics,Medium,What is a statistical interaction?,"I think it's when two variables affect each other's impact on the outcome, but I can't explain it well.",Average
24,Data Analyst,Technical,Statistics,Medium,What is a statistical interaction?,"I'm not exactly sure, let me get back to you.",Poor
25,Data Analyst,Technical,Statistics,Easy,What is selection bias?,"Selection bias occurs when the sample used for analysis isn't representative of the population being studied, because the selection process systematically favors certain groups — through non-random sampling, self-selection, or survivorship — leading to conclusions that don't generalize.",Excellent
26,Data Analyst,Technical,Statistics,Easy,What is selection bias?,"Selection bias happens when your sample doesn't represent the whole population properly, usually because the way you picked the data wasn't random.",Good
27,Data Analyst,Technical,Statistics,Easy,What is selection bias?,"It's when your data sample isn't really representative, but I don't remember the specific causes.",Average
28,Data Analyst,Technical,Statistics,Easy,What is selection bias?,It's just a programming term I think.,Poor
29,Data Analyst,Technical,Statistics,Medium,What is an example of a data set with a non-Gaussian distribution?,"Repeated coin-flip success counts follow a Binomial distribution, rare-event counts like hourly customer arrivals follow a Poisson distribution, and metrics like income or session duration are typically right-skewed and better modeled with a log-normal or exponential distribution.",Excellent
30,Data Analyst,Technical,Statistics,Medium,What is an example of a data set with a non-Gaussian distribution?,"Things like coin-flip counts, which follow a binomial distribution, or income data, which is usually skewed rather than normal.",Good
31,Data Analyst,Technical,Statistics,Medium,What is an example of a data set with a non-Gaussian distribution?,"I know not everything is normally distributed, maybe something like counting events, but I can't name a specific distribution confidently.",Average
32,Data Analyst,Technical,Statistics,Medium,What is an example of a data set with a non-Gaussian distribution?,"I'm not really sure, maybe it's something to do with statistics.",Poor
33,Data Analyst,Technical,Statistics,Medium,What is bias-variance trade-off?,"Bias is error from an overly simplistic model that underfits the data, while variance is error from an overly complex model that overfits and performs poorly on new data. The goal is to minimize both; increasing model complexity generally lowers bias but raises variance, so there's a trade-off to balance.",Excellent
34,Data Analyst,Technical,Statistics,Medium,What is bias-variance trade-off?,"Bias is when a model is too simple and underfits, variance is when it's too complex and overfits. You want a balance between the two for the best predictions.",Good
35,Data Analyst,Technical,Statistics,Medium,What is bias-variance trade-off?,"I think bias is about being too simple and variance is about being too complex, but I'm not confident explaining the trade-off part.",Average
36,Data Analyst,Technical,Statistics,Medium,What is bias-variance trade-off?,It's just a programming term I think.,Poor
37,Data Analyst,Technical,Statistics,Medium,What is a confusion matrix?,"A confusion matrix is a table that summarizes a classifier's predictions against actual outcomes, showing true positives, false positives, true negatives, and false negatives. From it you can derive metrics like accuracy, precision, recall, and F1-score to evaluate model performance.",Excellent
38,Data Analyst,Technical,Statistics,Medium,What is a confusion matrix?,"It's a table that shows how many predictions were correct or wrong, broken into true positives, false positives, true negatives, and false negatives.",Good
39,Data Analyst,Technical,Statistics,Medium,What is a confusion matrix?,"It has something to do with comparing predicted vs actual results, but I don't remember the exact four categories.",Average
40,Data Analyst,Technical,Statistics,Medium,What is a confusion matrix?,"I'm not exactly sure, let me get back to you.",Poor
41,Data Analyst,Technical,Statistics,Easy,What is the difference between 'long' and 'wide' format data?,"In wide format, each subject's repeated measurements are spread across separate columns in a single row. In long format, each row represents one observation at one time point per subject, so the same subject appears across multiple rows — long format is generally preferred for analysis and plotting in tools like pandas.",Excellent
42,Data Analyst,Technical,Statistics,Easy,What is the difference between 'long' and 'wide' format data?,"Wide format has each subject's data across multiple columns in one row. Long format has one row per observation, so a subject can appear in several rows.",Good
43,Data Analyst,Technical,Statistics,Easy,What is the difference between 'long' and 'wide' format data?,"I think wide format is more columns and long format is more rows, but I get confused about which is better for analysis.",Average
44,Data Analyst,Technical,Statistics,Easy,What is the difference between 'long' and 'wide' format data?,"I'm not really sure, maybe it's something to do with spreadsheets.",Poor
45,Data Analyst,Technical,Statistics,Easy,What do you understand by the term normal distribution?,"A normal distribution is a symmetrical, bell-shaped distribution where data clusters around the mean with no left or right skew, and the mean, median, and mode all coincide at the center — it's a common assumption underlying many statistical tests.",Excellent
46,Data Analyst,Technical,Statistics,Easy,What do you understand by the term normal distribution?,"It's a symmetrical, bell-shaped distribution where most of the data is centered around the mean.",Good
47,Data Analyst,Technical,Statistics,Easy,What do you understand by the term normal distribution?,"It's the bell curve shape, but I'm not sure exactly what properties define it.",Average
48,Data Analyst,Technical,Statistics,Easy,What do you understand by the term normal distribution?,It's just a programming term I think.,Poor
49,Data Analyst,Technical,Statistics,Medium,What is correlation and covariance in statistics?,"Covariance measures how two variables change together, but its scale depends on the variables' units. Correlation standardizes covariance by dividing by the product of the two variables' standard deviations, giving a unitless value between -1 and 1 that indicates both the strength and direction of the linear relationship.",Excellent
50,Data Analyst,Technical,Statistics,Medium,What is correlation and covariance in statistics?,"Covariance shows if two variables move together, and correlation is a standardized version of that, scaled between -1 and 1 so it's easier to interpret.",Good
51,Data Analyst,Technical,Statistics,Medium,What is correlation and covariance in statistics?,"I know correlation is between -1 and 1 and covariance is related, but I don't remember exactly how they differ.",Average
52,Data Analyst,Technical,Statistics,Medium,What is correlation and covariance in statistics?,"I'm not really sure, maybe it's something to do with statistics.",Poor
53,Data Analyst,Technical,Statistics,Medium,What is the difference between Point Estimates and Confidence Interval?,"A point estimate is a single value used to estimate a population parameter, while a confidence interval gives a range of plausible values for that parameter along with a confidence level (e.g. 95%) indicating how likely the interval is to contain the true parameter — confidence intervals are generally preferred because they convey uncertainty.",Excellent
54,Data Analyst,Technical,Statistics,Medium,What is the difference between Point Estimates and Confidence Interval?,"A point estimate is one number that estimates a population value, while a confidence interval gives a range along with how confident you are that the true value falls in it.",Good
55,Data Analyst,Technical,Statistics,Medium,What is the difference between Point Estimates and Confidence Interval?,"One is a single number and the other is a range, but I don't remember exactly what the confidence level means.",Average
56,Data Analyst,Technical,Statistics,Medium,What is the difference between Point Estimates and Confidence Interval?,It's just a programming term I think.,Poor
57,Data Analyst,Technical,A/B Testing,Easy,What is the goal of A/B testing?,"A/B testing is a randomized experiment comparing two variants (A and B) to determine which one performs better on a defined outcome metric, such as click-through rate or conversion rate, allowing data-driven decisions about product or marketing changes.",Excellent
58,Data Analyst,Technical,A/B Testing,Easy,What is the goal of A/B testing?,"A/B testing compares two versions of something, like a webpage, to see which one performs better on a metric like clicks or conversions.",Good
59,Data Analyst,Technical,A/B Testing,Easy,What is the goal of A/B testing?,"It's testing two versions of something to see which is better, but I'm not sure how the statistics behind it work.",Average
60,Data Analyst,Technical,A/B Testing,Easy,What is the goal of A/B testing?,"I'm not exactly sure, let me get back to you.",Poor
61,Data Analyst,Technical,Statistics,Easy,What is p-value?,"The p-value is the probability of observing results as extreme as, or more extreme than, the observed data if the null hypothesis were true. A p-value below the chosen significance threshold (commonly 0.05) leads to rejecting the null hypothesis.",Excellent
62,Data Analyst,Technical,Statistics,Easy,What is p-value?,It's a number that tells you how likely your result is if there's really no effect. A low p-value usually means you reject the null hypothesis.,Good
63,Data Analyst,Technical,Statistics,Easy,What is p-value?,"I know a low p-value is good for showing significance, but I don't remember exactly what it represents.",Average
64,Data Analyst,Technical,Statistics,Easy,What is p-value?,It's just a programming term I think.,Poor
65,Data Analyst,Technical,Programming,Easy,Python or R - which one would you prefer for text analytics?,"Python is generally preferred for text analytics because of libraries like pandas and NLTK for easy, high-performance data handling, faster general-purpose performance, and broader adoption outside pure statistics, whereas R tends to be stronger for dedicated statistical modeling.",Excellent
66,Data Analyst,Technical,Programming,Easy,Python or R - which one would you prefer for text analytics?,"Python, mainly because of the pandas library, which makes handling and analyzing text data easier and faster than R.",Good
67,Data Analyst,Technical,Programming,Easy,Python or R - which one would you prefer for text analytics?,"I think Python is usually preferred, but I'm not fully sure why compared to R.",Average
68,Data Analyst,Technical,Programming,Easy,Python or R - which one would you prefer for text analytics?,"I'm not exactly sure, let me get back to you.",Poor
69,Data Analyst,Technical,Data Cleaning,Easy,How does data cleaning play a vital role in the analysis?,"Data cleaning standardizes and corrects data gathered from multiple sources into a consistent, usable format, which directly improves the accuracy of any downstream analysis or model. It's often the most time-consuming part of a project, sometimes taking up to 80% of total analysis time, but skipping it risks drawing conclusions from flawed data.",Excellent
70,Data Analyst,Technical,Data Cleaning,Easy,How does data cleaning play a vital role in the analysis?,"Cleaning data makes it consistent and usable when it comes from multiple sources, which improves the accuracy of the analysis. It usually takes up a large chunk of project time.",Good
71,Data Analyst,Technical,Data Cleaning,Easy,How does data cleaning play a vital role in the analysis?,"Data cleaning fixes messy data before analysis, but I don't have a good sense of how much time it typically takes or why it's so important.",Average
72,Data Analyst,Technical,Data Cleaning,Easy,How does data cleaning play a vital role in the analysis?,It's just a programming term I think.,Poor
73,Data Analyst,Technical,Statistics,Medium,"Differentiate between univariate, bivariate and multivariate analysis.","Univariate analysis examines a single variable to describe its distribution (e.g. a pie chart of sales by region). Bivariate analysis looks at the relationship between two variables, such as a scatterplot of spend versus sales volume. Multivariate analysis studies three or more variables together to understand their combined effects on an outcome.",Excellent
74,Data Analyst,Technical,Statistics,Medium,"Differentiate between univariate, bivariate and multivariate analysis.","Univariate looks at one variable, bivariate compares two variables to find a relationship, and multivariate looks at three or more variables together.",Good
75,Data Analyst,Technical,Statistics,Medium,"Differentiate between univariate, bivariate and multivariate analysis.","I know univariate is one variable and multivariate is more variables, but I'm not sure exactly what bivariate captures.",Average
76,Data Analyst,Technical,Statistics,Medium,"Differentiate between univariate, bivariate and multivariate analysis.","I'm not really sure, maybe it's something to do with statistics.",Poor
77,Data Analyst,Technical,Data Modeling,Medium,Explain Star Schema.,"A star schema is a data warehouse design with a central fact table connected to surrounding dimension (lookup) tables that map IDs to descriptive attributes. This structure minimizes redundant storage and supports fast aggregation, which is why it's common in reporting and BI systems.",Excellent
78,Data Analyst,Technical,Data Modeling,Medium,Explain Star Schema.,It's a database design with one central fact table connected to several lookup tables that store descriptions. It's used to organize data warehouses efficiently.,Good
79,Data Analyst,Technical,Data Modeling,Medium,Explain Star Schema.,"I think it's a way to organize database tables around a central table, but I don't remember exactly how the lookup tables work.",Average
80,Data Analyst,Technical,Data Modeling,Medium,Explain Star Schema.,It's just a programming term I think.,Poor
81,Data Analyst,Technical,Statistics,Medium,What is Cluster Sampling?,"Cluster sampling divides the population into naturally occurring groups (clusters), then randomly selects entire clusters to sample rather than individuals — useful when a population is spread across a wide area and simple random sampling isn't practical.",Excellent
82,Data Analyst,Technical,Statistics,Medium,What is Cluster Sampling?,"It's when you divide the population into groups or clusters and randomly select whole clusters to study, instead of individuals.",Good
83,Data Analyst,Technical,Statistics,Medium,What is Cluster Sampling?,"I think it involves sampling groups instead of individuals, but I'm not confident on when it's used.",Average
84,Data Analyst,Technical,Statistics,Medium,What is Cluster Sampling?,"I'm not exactly sure, let me get back to you.",Poor
85,Data Analyst,Technical,Statistics,Medium,What is Systematic Sampling?,"Systematic sampling selects elements from an ordered list at a fixed interval (every nth item), cycling back to the start of the list if needed — a simple, roughly equal-probability alternative to full random sampling.",Excellent
86,Data Analyst,Technical,Statistics,Medium,What is Systematic Sampling?,"It's picking every nth item from an ordered list to build your sample, instead of picking randomly.",Good
87,Data Analyst,Technical,Statistics,Medium,What is Systematic Sampling?,"I think it's picking items at regular intervals, but I'm not fully sure how it compares to random sampling.",Average
88,Data Analyst,Technical,Statistics,Medium,What is Systematic Sampling?,It's just a programming term I think.,Poor
89,Data Analyst,Technical,Statistics,Hard,What are Eigenvectors and Eigenvalues?,"Eigenvectors are the directions along which a linear transformation acts by stretching or compressing without changing direction, commonly computed from a correlation or covariance matrix in data analysis. Eigenvalues represent the magnitude of that stretching along each eigenvector's direction, and are used to identify which directions capture the most variance, as in PCA.",Excellent
90,Data Analyst,Technical,Statistics,Hard,What are Eigenvectors and Eigenvalues?,"Eigenvectors are directions in the data where a transformation just stretches or shrinks things, and eigenvalues tell you how much stretching happens in that direction.",Good
91,Data Analyst,Technical,Statistics,Hard,What are Eigenvectors and Eigenvalues?,"I know they're related to matrices and used in things like PCA, but I couldn't explain exactly what each one represents.",Average
92,Data Analyst,Technical,Statistics,Hard,What are Eigenvectors and Eigenvalues?,"I'm not really sure, maybe it's something to do with statistics.",Poor
93,Data Analyst,Technical,Statistics,Medium,Can you cite some examples where a false positive is important than a false negative?,"In medical testing, a false positive cancer diagnosis could lead to unnecessary chemotherapy on a healthy patient, causing real harm. Similarly, sending a $1,000 promotional voucher to customers falsely predicted to make a large purchase wastes money on people who never intended to buy.",Excellent
94,Data Analyst,Technical,Statistics,Medium,Can you cite some examples where a false positive is important than a false negative?,A medical example: telling someone they have cancer when they don't could lead to harmful treatment they didn't need. That's a case where a false positive is worse.,Good
95,Data Analyst,Technical,Statistics,Medium,Can you cite some examples where a false positive is important than a false negative?,"I think a false positive is worse in medical testing, but I can't come up with a solid second example.",Average
96,Data Analyst,Technical,Statistics,Medium,Can you cite some examples where a false positive is important than a false negative?,"I'm not exactly sure, let me get back to you.",Poor
97,Data Analyst,Technical,Statistics,Medium,Can you cite some examples where a false negative is important than a false positive? And vice versa?,"A false negative in fraud detection means real fraud goes undetected, causing financial loss. A false negative in a criminal trial means a guilty person goes free. Conversely, a false positive in a promotional voucher campaign means wasting money on customers who wouldn't have purchased anyway.",Excellent
98,Data Analyst,Technical,Statistics,Medium,Can you cite some examples where a false negative is important than a false positive? And vice versa?,"Fraud detection is a good example — missing actual fraud (false negative) is worse than flagging something incorrectly. For false positives, wasting a promo on the wrong customer is a lower-stakes example.",Good
99,Data Analyst,Technical,Statistics,Medium,Can you cite some examples where a false negative is important than a false positive? And vice versa?,"I think fraud detection is one example where missing something is bad, but I'm not sure how to explain the vice versa part.",Average
100,Data Analyst,Technical,Statistics,Medium,Can you cite some examples where a false negative is important than a false positive? And vice versa?,It's just a programming term I think.,Poor
101,Data Analyst,Technical,Statistics,Medium,Can you cite some examples where both false positive and false negatives are equally important?,"In bank loan approvals, both errors matter: approving a loan for someone who defaults (false positive) causes direct losses, while rejecting a genuinely creditworthy applicant (false negative) means losing a good customer and future revenue — so both error types need to be minimized together.",Excellent
102,Data Analyst,Technical,Statistics,Medium,Can you cite some examples where both false positive and false negatives are equally important?,"Loan approvals are a good example. Approving a bad borrower and rejecting a good one are both costly, so both types of errors matter equally there.",Good
103,Data Analyst,Technical,Statistics,Medium,Can you cite some examples where both false positive and false negatives are equally important?,"I think it's cases where both mistakes cost the business money, like in banking, but I can't explain it in much more depth.",Average
104,Data Analyst,Technical,Statistics,Medium,Can you cite some examples where both false positive and false negatives are equally important?,"I'm not really sure, maybe it's something to do with statistics.",Poor
105,Data Analyst,Technical,Python/Pandas,Easy,What is a Series in Pandas?,"A Series is a one-dimensional labeled array in pandas capable of holding any data type, with each value associated with an index label. It can be created directly from a list, tuple, or dictionary, and unlike a DataFrame it holds only a single column of data.",Excellent
106,Data Analyst,Technical,Python/Pandas,Easy,What is a Series in Pandas?,"It's a one-dimensional array in pandas that can hold different data types, with each value having an index label.",Good
107,Data Analyst,Technical,Python/Pandas,Easy,What is a Series in Pandas?,"I think it's like a single column of data in pandas, but I'm not fully sure how it's different from a list.",Average
108,Data Analyst,Technical,Python/Pandas,Easy,What is a Series in Pandas?,It's just a programming term I think.,Poor
109,Data Analyst,Technical,Python/Pandas,Easy,What features make Pandas such a reliable option to store tabular data?,"Pandas is memory-efficient for tabular data, supports automatic data alignment on index labels, offers flexible reshaping (pivoting, melting), provides powerful merge and join operations, and has strong built-in support for time series data.",Excellent
110,Data Analyst,Technical,Python/Pandas,Easy,What features make Pandas such a reliable option to store tabular data?,"Pandas is efficient with memory, aligns data automatically, and makes it easy to reshape, merge, and join tables, plus it handles time series data well.",Good
111,Data Analyst,Technical,Python/Pandas,Easy,What features make Pandas such a reliable option to store tabular data?,"I know pandas is good for tables and handles a lot of data operations, but I can't list the specific features confidently.",Average
112,Data Analyst,Technical,Python/Pandas,Easy,What features make Pandas such a reliable option to store tabular data?,"I'm not exactly sure, let me get back to you.",Poor
113,Data Analyst,Technical,Python/Pandas,Medium,What is reindexing in pandas?,"Reindexing conforms a DataFrame or Series to a new index, inserting NaN for any labels that don't exist in the original data. It returns a new object unless the new index matches the current one, and is commonly used to reorder or align data with a different label set.",Excellent
114,Data Analyst,Technical,Python/Pandas,Medium,What is reindexing in pandas?,"It's changing the index of a DataFrame or Series to a new set of labels, filling in NaN for any labels that weren't there before.",Good
115,Data Analyst,Technical,Python/Pandas,Medium,What is reindexing in pandas?,"I think it's about changing the row or column labels, but I'm not sure exactly how missing values are handled.",Average
116,Data Analyst,Technical,Python/Pandas,Medium,What is reindexing in pandas?,It's just a programming term I think.,Poor
117,Data Analyst,Technical,Python/Pandas,Easy,What is groupby in Pandas?,"groupby splits a DataFrame into groups based on one or more keys, so you can apply aggregation, transformation, or filtering functions to each group independently — following the classic split-apply-combine pattern.",Excellent
118,Data Analyst,Technical,Python/Pandas,Easy,What is groupby in Pandas?,"It's used to split data into groups based on some column, so you can run calculations like sums or averages per group.",Good
119,Data Analyst,Technical,Python/Pandas,Easy,What is groupby in Pandas?,"I know it's for grouping data, but I don't remember exactly how the split-apply-combine process works.",Average
120,Data Analyst,Technical,Python/Pandas,Easy,What is groupby in Pandas?,"I'm not really sure, maybe it's something to do with statistics.",Poor
121,Data Analyst,Technical,Python/Pandas,Medium,What is vectorization in Pandas?,"Vectorization means applying operations to entire arrays or Series at once instead of looping element by element, using pandas' built-in optimized functions for aggregation and string operations. This is significantly faster than manual iteration because it avoids Python-level loop overhead.",Excellent
122,Data Analyst,Technical,Python/Pandas,Medium,What is vectorization in Pandas?,"It's running operations across a whole column or array at once instead of looping through each value, which is much faster.",Good
123,Data Analyst,Technical,Python/Pandas,Medium,What is vectorization in Pandas?,"I think it's about avoiding loops in pandas, but I'm not sure exactly why it's faster.",Average
124,Data Analyst,Technical,Python/Pandas,Medium,What is vectorization in Pandas?,It's just a programming term I think.,Poor
125,Data Analyst,Technical,Python/Pandas,Easy,Mention the different types of Data Structures in Pandas,"Pandas provides two core data structures: the one-dimensional Series and the two-dimensional DataFrame, both built on top of NumPy arrays.",Excellent
126,Data Analyst,Technical,Python/Pandas,Easy,Mention the different types of Data Structures in Pandas,"Pandas mainly has two data structures: Series, which is one-dimensional, and DataFrame, which is two-dimensional.",Good
127,Data Analyst,Technical,Python/Pandas,Easy,Mention the different types of Data Structures in Pandas,"I know DataFrame is one of them, but I'm not confident naming the other structure.",Average
128,Data Analyst,Technical,Python/Pandas,Easy,Mention the different types of Data Structures in Pandas,"I'm not exactly sure, let me get back to you.",Poor
129,Data Analyst,Technical,Python/Pandas,Medium,What is Time Series in pandas?,"A time series is data indexed by time, representing how a quantity changes over ordered timestamps. Pandas has extensive built-in support for time series, including date range generation, resampling, frequency conversion, and time-based indexing and slicing.",Excellent
130,Data Analyst,Technical,Python/Pandas,Medium,What is Time Series in pandas?,"It's data organized by time, like values over days or months, and pandas has good tools for working with dates and resampling that kind of data.",Good
131,Data Analyst,Technical,Python/Pandas,Medium,What is Time Series in pandas?,"I know pandas can handle dates, but I'm not sure exactly what features make it good for time series specifically.",Average
132,Data Analyst,Technical,Python/Pandas,Medium,What is Time Series in pandas?,It's just a programming term I think.,Poor
133,Data Analyst,Technical,Python/Pandas,Easy,How to convert a pandas DataFrame to a numpy array?,"The DataFrame's .to_numpy() method converts it into a NumPy array, with optional parameters to control the output dtype and whether the result is a copy or a view of the underlying data.",Excellent
134,Data Analyst,Technical,Python/Pandas,Easy,How to convert a pandas DataFrame to a numpy array?,You can use the .to_numpy() method on a DataFrame to convert it into a NumPy array.,Good
135,Data Analyst,Technical,Python/Pandas,Easy,How to convert a pandas DataFrame to a numpy array?,"I think there's a method to convert it to a NumPy array, but I don't remember its exact name.",Average
136,Data Analyst,Technical,Python/Pandas,Easy,How to convert a pandas DataFrame to a numpy array?,"I'm not really sure, maybe it's something to do with statistics.",Poor
137,Data Analyst,Technical,Python/Pandas,Medium,"What is the difference between df['Name'] and df.loc[:, 'Name'] in pandas?","df['Name'] typically returns a view into the original DataFrame, so modifying it can trigger a SettingWithCopyWarning or unexpectedly affect the source data, while df.loc[:, 'Name'] is the recommended, explicit way to access a column and behaves more predictably for both reading and assignment.",Excellent
138,Data Analyst,Technical,Python/Pandas,Medium,"What is the difference between df['Name'] and df.loc[:, 'Name'] in pandas?","df['Name'] is more like a direct reference to the original data, while df.loc[:, 'Name'] is the safer, more explicit way to select a column.",Good
139,Data Analyst,Technical,Python/Pandas,Medium,"What is the difference between df['Name'] and df.loc[:, 'Name'] in pandas?","I think one of them might act like a copy and the other doesn't, but I'm not confident on which is which.",Average
140,Data Analyst,Technical,Python/Pandas,Medium,"What is the difference between df['Name'] and df.loc[:, 'Name'] in pandas?",It's just a programming term I think.,Poor
141,Data Analyst,Technical,Python/Pandas,Easy,How will you add a column to a pandas DataFrame?,"You can add a new column by simple assignment, e.g. df['new_col'] = values, where values can be a list, array, or Series; if a Series is used, pandas aligns it to the DataFrame's index automatically, inserting NaN for unmatched labels.",Excellent
142,Data Analyst,Technical,Python/Pandas,Easy,How will you add a column to a pandas DataFrame?,"You just assign a new column like df['new_col'] = some_values, and pandas adds it to the DataFrame.",Good
143,Data Analyst,Technical,Python/Pandas,Easy,How will you add a column to a pandas DataFrame?,"I think you can just assign a new column name with some values, but I'm not sure about how index alignment works.",Average
144,Data Analyst,Technical,Python/Pandas,Easy,How will you add a column to a pandas DataFrame?,"I'm not exactly sure, let me get back to you.",Poor
145,Data Analyst,Technical,Python/Pandas,Easy,How to iterate over a Pandas DataFrame?,"You can iterate row by row using df.iterrows(), which yields the index and row data as a Series, though vectorized operations are usually preferred over iteration for performance on large DataFrames.",Excellent
146,Data Analyst,Technical,Python/Pandas,Easy,How to iterate over a Pandas DataFrame?,You can use a for loop with iterrows() to go through each row of the DataFrame.,Good
147,Data Analyst,Technical,Python/Pandas,Easy,How to iterate over a Pandas DataFrame?,"I know there's a way to loop through rows, but I don't remember the exact method name.",Average
148,Data Analyst,Technical,Python/Pandas,Easy,How to iterate over a Pandas DataFrame?,It's just a programming term I think.,Poor
149,Data Analyst,Technical,Python/Pandas,Easy,What type of language is Python - programming or scripting?,"Python can be used for scripting, but it is generally considered a general-purpose programming language since it supports full application development, not just automation scripts.",Excellent
150,Data Analyst,Technical,Python/Pandas,Easy,What type of language is Python - programming or scripting?,"Python can do scripting, but it's usually considered a general-purpose programming language overall.",Good
151,Data Analyst,Technical,Python/Pandas,Easy,What type of language is Python - programming or scripting?,"I think it's mostly used for scripting, but I'm not fully sure how it's officially classified.",Average
152,Data Analyst,Technical,Python/Pandas,Easy,What type of language is Python - programming or scripting?,"I'm not really sure, maybe it's something to do with statistics.",Poor
153,Data Analyst,Technical,Python/Pandas,Easy,Is Python case sensitive?,"Yes, Python is case sensitive — variable, function, and class names with different capitalization (e.g. data and Data) are treated as entirely distinct identifiers.",Excellent
154,Data Analyst,Technical,Python/Pandas,Easy,Is Python case sensitive?,"Yes, Python is case sensitive, so 'data' and 'Data' would be treated as two different variables.",Good
155,Data Analyst,Technical,Python/Pandas,Easy,Is Python case sensitive?,"I believe it is case sensitive, but I'm not 100% sure.",Average
156,Data Analyst,Technical,Python/Pandas,Easy,Is Python case sensitive?,It's just a programming term I think.,Poor
157,Data Analyst,Technical,Python/Pandas,Easy,What is a lambda function in Python?,"A lambda function is a small anonymous function defined with the lambda keyword, capable of taking any number of arguments but limited to a single expression. It's commonly used for short, throwaway functions passed as arguments to functions like apply() or sorted().",Excellent
158,Data Analyst,Technical,Python/Pandas,Easy,What is a lambda function in Python?,"It's a short, anonymous function that can take multiple arguments but only has one expression, often used inline for quick operations.",Good
